"survived","embarked","sex","sibsp","parch","fare"
1,"S","female",1,1,12.2875
0,"S","male",0,0,6.45
0,"S","male",0,0,22.525
1,"S","female",0,0,7.925
0,"Q","male",0,0,7.75
1,"S","female",0,0,8.05
0,"S","male",0,0,7.65
1,"S","male",0,0,7.8875
0,"C","male",0,0,7.2292
0,"S","male",0,0,7.8958
0,"S","female",1,0,7.925
0,"S","female",1,0,7.925
0,"S","male",0,0,7.8958
1,"C","male",0,0,7.8958
1,"S","male",0,0,7.7958
0,"S","male",0,0,7.05
0,"S","male",0,0,7.8542
0,"S","male",0,0,7.8542
0,"S","male",1,0,7.0542
1,"Q","female",0,0,7.75
1,"S","male",0,0,8.1125
0,"S","male",0,0,6.4958
1,"S","male",0,0,7.775
0,"S","male",0,0,7.7958
0,"S","male",0,0,8.6542
0,"S","male",0,0,7.775
0,"S","male",0,0,7.8542
1,"S","male",1,1,11.1333
1,"S","female",1,1,11.1333
0,"S","male",0,0,0
0,"S","male",0,0,7.775
0,"S","male",0,0,0
1,"S","female",0,2,11.1333
0,"S","male",1,2,23.45
0,"S","female",1,2,23.45
0,"S","male",1,2,23.45
0,"S","female",1,2,23.45
0,"S","male",0,0,7.8958
1,"S","male",0,0,7.8542
0,"S","male",0,0,7.8542
0,"S","female",1,0,9.825
0,"S","female",1,0,9.825
1,"S","male",0,0,7.925
0,"S","male",0,0,7.125
0,"S","male",0,0,8.4333
0,"S","male",0,0,7.8958
1,"S","male",0,0,7.7958
0,"S","male",0,0,7.8542
0,"S","male",0,0,7.5208
1,"C","female",0,1,13.4167
1,"C","male",0,1,13.4167
0,"C","male",0,0,7.2292
0,"C","male",0,0,7.2292
0,"Q","male",0,0,7.75
0,"S","male",0,0,7.25
1,"Q","female",0,0,7.75
1,"Q","female",0,0,7.75
0,"Q","male",0,0,7.8292
0,"S","male",0,0,8.05
1,"Q","male",0,0,7.75
0,"C","male",1,0,14.4542
0,"C","female",1,0,14.4542
0,"Q","male",1,0,7.75
0,"Q","male",1,0,7.75
0,"Q","male",0,0,7.7375
0,"S","female",2,0,8.6625
0,"S","male",2,0,8.6625
1,"S","female",0,2,22.025
1,"S","male",3,1,22.025
