"X1","X2","X3","X4","X5","X6","X8","Y1","Y1_Type","Y1_ctype"
2,8.5,4.85714285714286,10,"3.5","2","0",7.18,1,"Low"
2,8.5,4.85714285714286,10,"3.5","3","0",7.1,1,"Low"
2,8.5,4.85714285714286,10,"3.5","4","0",7.1,1,"Low"
2,8.5,4.85714285714286,10,"3.5","5","0",7.1,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","2","0",10.85,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","3","0",10.54,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","4","0",10.77,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","5","0",10.56,1,"Low"
1,10,7.42857142857143,10,"3.5","2","0",8.6,1,"Low"
1,10,7.42857142857143,10,"3.5","3","0",8.49,1,"Low"
1,10,7.42857142857143,10,"3.5","4","0",8.45,1,"Low"
1,10,7.42857142857143,10,"3.5","5","0",8.5,1,"Low"
10,1,3.57142857142857,1,"7","2","1",24.58,3,"Low"
10,1,3.57142857142857,1,"7","3","1",24.63,3,"Low"
10,1,3.57142857142857,1,"7","4","1",24.63,3,"Low"
10,1,3.57142857142857,1,"7","5","1",24.59,3,"Low"
8,2.5,4.85714285714286,2,"7","2","1",29.03,3,"Low"
8,2.5,4.85714285714286,2,"7","3","1",29.87,3,"Low"
8,2.5,4.85714285714286,2,"7","4","1",29.14,3,"Low"
8,2.5,4.85714285714286,2,"7","5","1",28.09,3,"Low"
7,3.25,3.57142857142857,4,"7","2","1",26.28,3,"Low"
7,3.25,3.57142857142857,4,"7","3","1",26.91,3,"Low"
7,3.25,3.57142857142857,4,"7","4","1",26.37,3,"Low"
7,3.25,3.57142857142857,4,"7","5","1",25.27,3,"Low"
6,4,4.85714285714286,4,"7","2","1",23.53,3,"Low"
6,4,4.85714285714286,4,"7","3","1",24.03,3,"Low"
6,4,4.85714285714286,4,"7","4","1",23.54,3,"Low"
6,4,4.85714285714286,4,"7","5","1",22.58,3,"Low"
5.25,4.75,6.14285714285714,4,"7","2","1",35.56,2,"High"
5.25,4.75,6.14285714285714,4,"7","3","1",37.12,2,"High"
5.25,4.75,6.14285714285714,4,"7","4","1",36.9,2,"High"
5.25,4.75,6.14285714285714,4,"7","5","1",35.94,2,"High"
4.5,5.5,10,2,"7","2","1",32.96,2,"High"
4.5,5.5,10,2,"7","3","1",32.12,2,"High"
4.5,5.5,10,2,"7","4","1",32.94,2,"High"
4.5,5.5,10,2,"7","5","1",32.21,2,"High"
4,6.25,1,10,"3.5","2","1",10.36,1,"Low"
4,6.25,1,10,"3.5","3","1",10.43,1,"Low"
4,6.25,1,10,"3.5","4","1",10.36,1,"Low"
4,6.25,1,10,"3.5","5","1",10.39,1,"Low"
3.25,7,2.28571428571429,10,"3.5","2","1",10.71,1,"Low"
3.25,7,2.28571428571429,10,"3.5","3","1",10.8,1,"Low"
3.25,7,2.28571428571429,10,"3.5","4","1",10.7,1,"Low"
3.25,7,2.28571428571429,10,"3.5","5","1",10.75,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","2","1",11.11,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","3","1",11.13,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","4","1",11.09,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","5","1",11.16,1,"Low"
2,8.5,4.85714285714286,10,"3.5","2","1",11.68,1,"Low"
2,8.5,4.85714285714286,10,"3.5","3","1",11.69,1,"Low"
2,8.5,4.85714285714286,10,"3.5","4","1",11.7,1,"Low"
2,8.5,4.85714285714286,10,"3.5","5","1",11.69,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","2","1",15.41,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","3","1",15.2,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","4","1",15.42,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","5","1",15.21,1,"Low"
1,10,7.42857142857143,10,"3.5","2","1",12.96,1,"Low"
1,10,7.42857142857143,10,"3.5","3","1",12.97,1,"Low"
1,10,7.42857142857143,10,"3.5","4","1",12.93,1,"Low"
1,10,7.42857142857143,10,"3.5","5","1",13.02,1,"Low"
10,1,3.57142857142857,1,"7","2","2",24.29,3,"Low"
10,1,3.57142857142857,1,"7","3","2",24.31,3,"Low"
10,1,3.57142857142857,1,"7","4","2",24.13,3,"Low"
10,1,3.57142857142857,1,"7","5","2",24.25,3,"Low"
8,2.5,4.85714285714286,2,"7","2","2",28.88,3,"Low"
8,2.5,4.85714285714286,2,"7","3","2",29.68,3,"Low"
8,2.5,4.85714285714286,2,"7","4","2",28.83,3,"Low"
8,2.5,4.85714285714286,2,"7","5","2",27.9,3,"Low"
7,3.25,3.57142857142857,4,"7","2","2",26.48,3,"Low"
7,3.25,3.57142857142857,4,"7","3","2",27.02,3,"Low"
7,3.25,3.57142857142857,4,"7","4","2",26.33,3,"Low"
7,3.25,3.57142857142857,4,"7","5","2",25.36,3,"Low"
6,4,4.85714285714286,4,"7","2","2",23.75,3,"Low"
6,4,4.85714285714286,4,"7","3","2",24.23,3,"Low"
6,4,4.85714285714286,4,"7","4","2",23.67,3,"Low"
6,4,4.85714285714286,4,"7","5","2",22.79,3,"Low"
5.25,4.75,6.14285714285714,4,"7","2","2",35.65,2,"High"
5.25,4.75,6.14285714285714,4,"7","3","2",37.26,2,"High"
5.25,4.75,6.14285714285714,4,"7","4","2",36.97,2,"High"
5.25,4.75,6.14285714285714,4,"7","5","2",36.03,2,"High"
4.5,5.5,10,2,"7","2","2",33.16,2,"High"
4.5,5.5,10,2,"7","3","2",32.4,2,"High"
4.5,5.5,10,2,"7","4","2",33.12,2,"High"
4.5,5.5,10,2,"7","5","2",32.41,2,"High"
4,6.25,1,10,"3.5","2","2",10.42,1,"Low"
4,6.25,1,10,"3.5","3","2",10.46,1,"Low"
4,6.25,1,10,"3.5","4","2",10.32,1,"Low"
4,6.25,1,10,"3.5","5","2",10.45,1,"Low"
3.25,7,2.28571428571429,10,"3.5","2","2",10.64,1,"Low"
3.25,7,2.28571428571429,10,"3.5","3","2",10.72,1,"Low"
3.25,7,2.28571428571429,10,"3.5","4","2",10.55,1,"Low"
3.25,7,2.28571428571429,10,"3.5","5","2",10.68,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","2","2",11.45,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","3","2",11.46,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","4","2",11.32,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","5","2",11.49,1,"Low"
2,8.5,4.85714285714286,10,"3.5","2","2",11.45,1,"Low"
2,8.5,4.85714285714286,10,"3.5","3","2",11.42,1,"Low"
2,8.5,4.85714285714286,10,"3.5","4","2",11.33,1,"Low"
2,8.5,4.85714285714286,10,"3.5","5","2",11.43,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","2","2",15.41,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","3","2",15.18,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","4","2",15.34,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","5","2",15.19,1,"Low"
1,10,7.42857142857143,10,"3.5","2","2",12.88,1,"Low"
1,10,7.42857142857143,10,"3.5","3","2",13,1,"Low"
1,10,7.42857142857143,10,"3.5","4","2",12.97,1,"Low"
1,10,7.42857142857143,10,"3.5","5","2",13.04,1,"Low"
10,1,3.57142857142857,1,"7","2","3",24.28,3,"Low"
10,1,3.57142857142857,1,"7","3","3",24.4,3,"Low"
10,1,3.57142857142857,1,"7","4","3",24.11,3,"Low"
10,1,3.57142857142857,1,"7","5","3",24.35,3,"Low"
8,2.5,4.85714285714286,2,"7","2","3",28.07,3,"Low"
8,2.5,4.85714285714286,2,"7","3","3",29.01,3,"Low"
8,2.5,4.85714285714286,2,"7","4","3",29.62,3,"Low"
8,2.5,4.85714285714286,2,"7","5","3",29.05,3,"Low"
7,3.25,3.57142857142857,4,"7","2","3",25.41,3,"Low"
7,3.25,3.57142857142857,4,"7","3","3",26.47,3,"Low"
7,3.25,3.57142857142857,4,"7","4","3",26.89,3,"Low"
7,3.25,3.57142857142857,4,"7","5","3",26.46,3,"Low"
6,4,4.85714285714286,4,"7","2","3",22.93,3,"Low"
6,4,4.85714285714286,4,"7","3","3",23.84,3,"Low"
6,4,4.85714285714286,4,"7","4","3",24.17,3,"Low"
6,4,4.85714285714286,4,"7","5","3",23.87,3,"Low"
5.25,4.75,6.14285714285714,4,"7","2","3",35.78,2,"High"
5.25,4.75,6.14285714285714,4,"7","3","3",35.48,2,"High"
5.25,4.75,6.14285714285714,4,"7","4","3",36.97,2,"High"
5.25,4.75,6.14285714285714,4,"7","5","3",36.7,2,"High"
4.5,5.5,10,2,"7","2","3",32.52,2,"High"
4.5,5.5,10,2,"7","3","3",33.28,2,"High"
4.5,5.5,10,2,"7","4","3",32.33,2,"High"
4.5,5.5,10,2,"7","5","3",33.24,2,"High"
4,6.25,1,10,"3.5","2","3",10.39,1,"Low"
4,6.25,1,10,"3.5","3","3",10.34,1,"Low"
4,6.25,1,10,"3.5","4","3",10.35,1,"Low"
4,6.25,1,10,"3.5","5","3",10.38,1,"Low"
3.25,7,2.28571428571429,10,"3.5","2","3",10.77,1,"Low"
3.25,7,2.28571428571429,10,"3.5","3","3",10.68,1,"Low"
3.25,7,2.28571428571429,10,"3.5","4","3",10.68,1,"Low"
3.25,7,2.28571428571429,10,"3.5","5","3",10.7,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","2","3",11.22,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","3","3",11.16,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","4","3",11.1,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","5","3",11.14,1,"Low"
2,8.5,4.85714285714286,10,"3.5","2","3",11.59,1,"Low"
2,8.5,4.85714285714286,10,"3.5","3","3",11.6,1,"Low"
2,8.5,4.85714285714286,10,"3.5","4","3",11.53,1,"Low"
2,8.5,4.85714285714286,10,"3.5","5","3",11.61,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","2","3",15.16,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","3","3",15.36,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","4","3",15.12,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","5","3",15.36,1,"Low"
1,10,7.42857142857143,10,"3.5","2","3",12.68,1,"Low"
1,10,7.42857142857143,10,"3.5","3","3",12.63,1,"Low"
1,10,7.42857142857143,10,"3.5","4","3",12.71,1,"Low"
1,10,7.42857142857143,10,"3.5","5","3",12.73,1,"Low"
10,1,3.57142857142857,1,"7","2","4",24.38,3,"Low"
10,1,3.57142857142857,1,"7","3","4",24.23,3,"Low"
10,1,3.57142857142857,1,"7","4","4",24.04,3,"Low"
10,1,3.57142857142857,1,"7","5","4",24.32,3,"Low"
8,2.5,4.85714285714286,2,"7","2","4",29.06,3,"Low"
8,2.5,4.85714285714286,2,"7","3","4",28.05,3,"Low"
8,2.5,4.85714285714286,2,"7","4","4",28.86,3,"Low"
8,2.5,4.85714285714286,2,"7","5","4",29.79,3,"Low"
7,3.25,3.57142857142857,4,"7","2","4",26.44,3,"Low"
7,3.25,3.57142857142857,4,"7","3","4",25.37,3,"Low"
7,3.25,3.57142857142857,4,"7","4","4",26.33,3,"Low"
7,3.25,3.57142857142857,4,"7","5","4",27.03,3,"Low"
6,4,4.85714285714286,4,"7","2","4",23.8,3,"Low"
6,4,4.85714285714286,4,"7","3","4",22.8,3,"Low"
6,4,4.85714285714286,4,"7","4","4",23.59,3,"Low"
6,4,4.85714285714286,4,"7","5","4",24.24,3,"Low"
5.25,4.75,6.14285714285714,4,"7","2","4",36.86,2,"High"
5.25,4.75,6.14285714285714,4,"7","3","4",35.89,2,"High"
5.25,4.75,6.14285714285714,4,"7","4","4",35.45,2,"High"
5.25,4.75,6.14285714285714,4,"7","5","4",37.1,2,"High"
4.5,5.5,10,2,"7","2","4",33.08,2,"High"
4.5,5.5,10,2,"7","3","4",32.38,2,"High"
4.5,5.5,10,2,"7","4","4",33.09,2,"High"
4.5,5.5,10,2,"7","5","4",32.31,2,"High"
4,6.25,1,10,"3.5","2","4",10.08,1,"Low"
4,6.25,1,10,"3.5","3","4",10.15,1,"Low"
4,6.25,1,10,"3.5","4","4",10.07,1,"Low"
4,6.25,1,10,"3.5","5","4",10.14,1,"Low"
3.25,7,2.28571428571429,10,"3.5","2","4",10.66,1,"Low"
3.25,7,2.28571428571429,10,"3.5","3","4",10.68,1,"Low"
3.25,7,2.28571428571429,10,"3.5","4","4",10.53,1,"Low"
3.25,7,2.28571428571429,10,"3.5","5","4",10.72,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","2","4",11.18,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","3","4",11.22,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","4","4",11.07,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","5","4",11.2,1,"Low"
2,8.5,4.85714285714286,10,"3.5","2","4",11.44,1,"Low"
2,8.5,4.85714285714286,10,"3.5","3","4",11.42,1,"Low"
2,8.5,4.85714285714286,10,"3.5","4","4",11.33,1,"Low"
2,8.5,4.85714285714286,10,"3.5","5","4",11.43,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","2","4",15.4,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","3","4",15.19,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","4","4",15.32,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","5","4",15.16,1,"Low"
1,10,7.42857142857143,10,"3.5","2","4",12.85,1,"Low"
1,10,7.42857142857143,10,"3.5","3","4",13.04,1,"Low"
1,10,7.42857142857143,10,"3.5","4","4",13,1,"Low"
1,10,7.42857142857143,10,"3.5","5","4",13,1,"Low"
10,1,3.57142857142857,1,"7","2","5",24.35,3,"Low"
10,1,3.57142857142857,1,"7","3","5",24.33,3,"Low"
10,1,3.57142857142857,1,"7","4","5",24.03,3,"Low"
10,1,3.57142857142857,1,"7","5","5",24.26,3,"Low"
8,2.5,4.85714285714286,2,"7","2","5",29.83,3,"Low"
8,2.5,4.85714285714286,2,"7","3","5",29.08,3,"Low"
8,2.5,4.85714285714286,2,"7","4","5",28.03,3,"Low"
8,2.5,4.85714285714286,2,"7","5","5",29.02,3,"Low"
7,3.25,3.57142857142857,4,"7","2","5",27.03,3,"Low"
7,3.25,3.57142857142857,4,"7","3","5",26.45,3,"Low"
7,3.25,3.57142857142857,4,"7","4","5",25.36,3,"Low"
7,3.25,3.57142857142857,4,"7","5","5",26.45,3,"Low"
6,4,4.85714285714286,4,"7","2","5",24.37,3,"Low"
6,4,4.85714285714286,4,"7","3","5",23.89,3,"Low"
6,4,4.85714285714286,4,"7","4","5",22.89,3,"Low"
6,4,4.85714285714286,4,"7","5","5",23.86,3,"Low"
5.25,4.75,6.14285714285714,4,"7","2","5",37.03,2,"High"
5.25,4.75,6.14285714285714,4,"7","3","5",36.71,2,"High"
5.25,4.75,6.14285714285714,4,"7","4","5",36.77,2,"High"
5.25,4.75,6.14285714285714,4,"7","5","5",35.48,2,"High"
4.5,5.5,10,2,"7","2","5",32.31,2,"High"
4.5,5.5,10,2,"7","3","5",33.21,2,"High"
4.5,5.5,10,2,"7","4","5",32.46,2,"High"
4.5,5.5,10,2,"7","5","5",33.27,2,"High"
4,6.25,1,10,"3.5","2","5",10.47,1,"Low"
4,6.25,1,10,"3.5","3","5",10.37,1,"Low"
4,6.25,1,10,"3.5","4","5",10.34,1,"Low"
4,6.25,1,10,"3.5","5","5",10.39,1,"Low"
3.25,7,2.28571428571429,10,"3.5","2","5",10.78,1,"Low"
3.25,7,2.28571428571429,10,"3.5","3","5",10.7,1,"Low"
3.25,7,2.28571428571429,10,"3.5","4","5",10.67,1,"Low"
3.25,7,2.28571428571429,10,"3.5","5","5",13.69,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","2","5",11.21,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","3","5",11.14,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","4","5",11.11,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","5","5",11.16,1,"Low"
2,8.5,4.85714285714286,10,"3.5","2","5",11.38,1,"Low"
2,8.5,4.85714285714286,10,"3.5","3","5",11.34,1,"Low"
2,8.5,4.85714285714286,10,"3.5","4","5",11.22,1,"Low"
2,8.5,4.85714285714286,10,"3.5","5","5",11.34,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","2","5",15.16,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","3","5",15.37,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","4","5",15.12,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","5","5",15.36,1,"Low"
1,10,7.42857142857143,10,"3.5","2","5",12.59,1,"Low"
1,10,7.42857142857143,10,"3.5","3","5",12.74,1,"Low"
1,10,7.42857142857143,10,"3.5","4","5",12.8,1,"Low"
1,10,7.42857142857143,10,"3.5","5","5",12.62,1,"Low"
10,1,3.57142857142857,1,"7","2","1",28.15,3,"Low"
10,1,3.57142857142857,1,"7","3","1",28.15,3,"Low"
10,1,3.57142857142857,1,"7","4","1",28.37,3,"Low"
10,1,3.57142857142857,1,"7","5","1",28.41,3,"Low"
8,2.5,4.85714285714286,2,"7","2","1",32.68,2,"High"
8,2.5,4.85714285714286,2,"7","3","1",33.48,2,"High"
8,2.5,4.85714285714286,2,"7","4","1",32.84,2,"High"
8,2.5,4.85714285714286,2,"7","5","1",32,2,"High"
7,3.25,3.57142857142857,4,"7","2","1",29.54,3,"Low"
7,3.25,3.57142857142857,4,"7","3","1",30.05,3,"Low"
7,3.25,3.57142857142857,4,"7","4","1",29.6,3,"Low"
7,3.25,3.57142857142857,4,"7","5","1",28.66,3,"Low"
6,4,4.85714285714286,4,"7","2","1",26.84,3,"Low"
6,4,4.85714285714286,4,"7","3","1",27.27,3,"Low"
6,4,4.85714285714286,4,"7","4","1",26.97,3,"Low"
6,4,4.85714285714286,4,"7","5","1",26.19,3,"Low"
5.25,4.75,6.14285714285714,4,"7","2","1",38.67,2,"High"
5.25,4.75,6.14285714285714,4,"7","3","1",40.03,2,"High"
5.25,4.75,6.14285714285714,4,"7","4","1",39.86,2,"High"
5.25,4.75,6.14285714285714,4,"7","5","1",39.04,2,"High"
4.5,5.5,10,2,"7","2","1",36.96,2,"High"
4.5,5.5,10,2,"7","3","1",36.13,2,"High"
4.5,5.5,10,2,"7","4","1",36.91,2,"High"
4.5,5.5,10,2,"7","5","1",36.43,2,"High"
4,6.25,1,10,"3.5","2","1",12.43,1,"Low"
4,6.25,1,10,"3.5","3","1",12.5,1,"Low"
4,6.25,1,10,"3.5","4","1",12.41,1,"Low"
4,6.25,1,10,"3.5","5","1",12.45,1,"Low"
3.25,7,2.28571428571429,10,"3.5","2","1",12.57,1,"Low"
3.25,7,2.28571428571429,10,"3.5","3","1",12.65,1,"Low"
3.25,7,2.28571428571429,10,"3.5","4","1",12.57,1,"Low"
3.25,7,2.28571428571429,10,"3.5","5","1",12.63,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","2","1",12.78,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","3","1",12.93,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","4","1",12.73,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","5","1",12.72,1,"Low"
2,8.5,4.85714285714286,10,"3.5","2","1",13.17,1,"Low"
2,8.5,4.85714285714286,10,"3.5","3","1",13.18,1,"Low"
2,8.5,4.85714285714286,10,"3.5","4","1",13.17,1,"Low"
2,8.5,4.85714285714286,10,"3.5","5","1",13.18,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","2","1",17.5,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","3","1",17.35,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","4","1",17.52,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","5","1",17.37,1,"Low"
1,10,7.42857142857143,10,"3.5","2","1",15.09,1,"Low"
1,10,7.42857142857143,10,"3.5","3","1",15.12,1,"Low"
1,10,7.42857142857143,10,"3.5","4","1",15.08,1,"Low"
1,10,7.42857142857143,10,"3.5","5","1",15.16,1,"Low"
10,1,3.57142857142857,1,"7","2","2",28.67,3,"Low"
10,1,3.57142857142857,1,"7","3","2",28.57,3,"Low"
10,1,3.57142857142857,1,"7","4","2",28.18,3,"Low"
10,1,3.57142857142857,1,"7","5","2",28.6,3,"Low"
8,2.5,4.85714285714286,2,"7","2","2",32.46,2,"High"
8,2.5,4.85714285714286,2,"7","3","2",33.27,2,"High"
8,2.5,4.85714285714286,2,"7","4","2",32.33,2,"High"
8,2.5,4.85714285714286,2,"7","5","2",31.66,2,"High"
7,3.25,3.57142857142857,4,"7","2","2",29.34,3,"Low"
7,3.25,3.57142857142857,4,"7","3","2",29.87,3,"Low"
7,3.25,3.57142857142857,4,"7","4","2",29.27,3,"Low"
7,3.25,3.57142857142857,4,"7","5","2",28.4,3,"Low"
6,4,4.85714285714286,4,"7","2","2",25.74,3,"Low"
6,4,4.85714285714286,4,"7","3","2",25.98,3,"Low"
6,4,4.85714285714286,4,"7","4","2",25.38,3,"Low"
6,4,4.85714285714286,4,"7","5","2",24.94,3,"Low"
5.25,4.75,6.14285714285714,4,"7","2","2",38.57,2,"High"
5.25,4.75,6.14285714285714,4,"7","3","2",40.19,2,"High"
5.25,4.75,6.14285714285714,4,"7","4","2",39.97,2,"High"
5.25,4.75,6.14285714285714,4,"7","5","2",38.98,2,"High"
4.5,5.5,10,2,"7","2","2",36.95,2,"High"
4.5,5.5,10,2,"7","3","2",36.28,2,"High"
4.5,5.5,10,2,"7","4","2",36.86,2,"High"
4.5,5.5,10,2,"7","5","2",36.45,2,"High"
4,6.25,1,10,"3.5","2","2",12.35,1,"Low"
4,6.25,1,10,"3.5","3","2",12.45,1,"Low"
4,6.25,1,10,"3.5","4","2",12.16,1,"Low"
4,6.25,1,10,"3.5","5","2",12.3,1,"Low"
3.25,7,2.28571428571429,10,"3.5","2","2",12.33,1,"Low"
3.25,7,2.28571428571429,10,"3.5","3","2",12.29,1,"Low"
3.25,7,2.28571428571429,10,"3.5","4","2",12.2,1,"Low"
3.25,7,2.28571428571429,10,"3.5","5","2",12.49,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","2","2",12.85,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","3","2",12.87,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","4","2",12.73,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","5","2",12.95,1,"Low"
2,8.5,4.85714285714286,10,"3.5","2","2",13.05,1,"Low"
2,8.5,4.85714285714286,10,"3.5","3","2",12.93,1,"Low"
2,8.5,4.85714285714286,10,"3.5","4","2",12.77,1,"Low"
2,8.5,4.85714285714286,10,"3.5","5","2",13,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","2","2",17.14,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","3","2",16.84,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","4","2",17.02,1,"Low"
1.5,9.25,6.14285714285714,10,"3.5","5","2",17.11,1,"Low"
1,10,7.42857142857143,10,"3.5","2","2",14.34,1,"Low"
1,10,7.42857142857143,10,"3.5","3","2",14.66,1,"Low"
1,10,7.42857142857143,10,"3.5","4","2",14.6,1,"Low"
1,10,7.42857142857143,10,"3.5","5","2",14.6,1,"Low"
10,1,3.57142857142857,1,"7","2","3",28.67,3,"Low"
10,1,3.57142857142857,1,"7","3","3",28.56,3,"Low"
10,1,3.57142857142857,1,"7","4","3",28.17,3,"Low"
10,1,3.57142857142857,1,"7","5","3",28.63,3,"Low"
8,2.5,4.85714285714286,2,"7","2","3",31.63,2,"High"
8,2.5,4.85714285714286,2,"7","3","3",32.4,2,"High"
8,2.5,4.85714285714286,2,"7","4","3",32.68,2,"High"
8,2.5,4.85714285714286,2,"7","5","3",32.29,2,"High"
7,3.25,3.57142857142857,4,"7","2","3",28.4,3,"Low"
7,3.25,3.57142857142857,4,"7","3","3",29.4,3,"Low"
7,3.25,3.57142857142857,4,"7","4","3",29.43,3,"Low"
7,3.25,3.57142857142857,4,"7","5","3",29.07,3,"Low"
6,4,4.85714285714286,4,"7","2","3",24.7,3,"Low"
6,4,4.85714285714286,4,"7","3","3",25.48,3,"Low"
6,4,4.85714285714286,4,"7","4","3",25.37,3,"Low"
6,4,4.85714285714286,4,"7","5","3",25.17,3,"Low"
5.25,4.75,6.14285714285714,4,"7","2","3",39.04,2,"High"
5.25,4.75,6.14285714285714,4,"7","3","3",38.35,2,"High"
5.25,4.75,6.14285714285714,4,"7","4","3",39.81,2,"High"
5.25,4.75,6.14285714285714,4,"7","5","3",39.83,2,"High"
4.5,5.5,10,2,"7","2","3",35.99,2,"High"
4.5,5.5,10,2,"7","3","3",36.59,2,"High"
4.5,5.5,10,2,"7","4","3",35.64,2,"High"
4.5,5.5,10,2,"7","5","3",36.52,2,"High"
4,6.25,1,10,"3.5","2","3",11.8,1,"Low"
4,6.25,1,10,"3.5","3","3",12.03,1,"Low"
4,6.25,1,10,"3.5","4","3",11.98,1,"Low"
